team,total_matches,elo_rating
Spain,290,1978.4500061018123
France,275,1941.5021376863688
Argentina,294,1934.0087038352117
Mexico,377,1908.6610036209738
England,268,1900.1952472000935
Morocco,250,1886.210242195366
Japan,368,1862.4152949585598
Portugal,276,1856.2812984267048
Australia,235,1853.4188301788554
Brazil,309,1851.855353881404
Netherlands,270,1845.8421310460408
Iran,287,1843.7810822087424
United States,330,1832.1798162742887
Germany,278,1827.8128543311793
South Korea,315,1815.35871914248
Croatia,254,1804.6443342218763
Colombia,276,1804.0097723907077
Belgium,248,1785.0074275815311
Italy,292,1781.077214983585
Senegal,260,1776.2272012574176
Uzbekistan,218,1772.7361696279488
Canada,203,1770.6109028063454
Norway,223,1768.1405690272284
Nigeria,275,1767.7160878025782
Algeria,253,1766.6255546269992
Switzerland,233,1760.1823649095393
Panama,246,1751.23438118982
Ecuador,224,1750.7416623303855
Turkey,243,1746.002560446806
Uruguay,271,1745.9156028892219
Egypt,305,1742.867467429594
Jordan,219,1741.2181568551673
Denmark,256,1736.828398599639
Costa Rica,333,1730.7932870806749
Paraguay,244,1716.3388312360905
Ivory Coast,258,1711.268474052792
Iraq,283,1704.748954795643
Saudi Arabia,342,1701.298707732673
Scotland,225,1696.193584928856
New Zealand,126,1687.9357461851416
DR Congo,236,1686.5326513896161
Austria,211,1683.1691436734689
Honduras,289,1682.505345446142
Russia,218,1679.2871222092995
Cameroon,285,1677.610280416992
Jersey,54,1668.684407923308
Northern Cyprus,29,1665.8623604537763
Ukraine,210,1663.964695092692
Wales,209,1662.8524169255177
Jamaica,284,1662.6379571326647
United Arab Emirates,307,1658.1339817085397
Serbia,212,1656.2783376520774
Greece,230,1656.264754885468
Qatar,307,1650.053730918747
Hungary,217,1649.9739986432055
Guatemala,198,1646.5882458332892
Mali,234,1643.114391760161
Tunisia,268,1639.7576993775701
Haiti,166,1638.8026313560454
South Africa,228,1638.5461038498977
Oman,273,1637.6027011879112
Venezuela,203,1637.381835360293
Padania,43,1635.869396970949
Sweden,266,1629.4504191407539
Poland,226,1629.3341335824523
Syria,210,1627.4999039260556
Bahrain,288,1626.8876211383244
Burkina Faso,205,1623.4393020366786
Ghana,258,1621.3941603372398
Cape Verde,158,1619.3528254776325
Czech Republic,235,1617.5526249699085
Peru,235,1604.7923452506723
Abkhazia,26,1603.786881438971
Thailand,347,1602.86764289184
China,270,1600.2315127760394
Palestine,155,1598.2645359694463
Iraqi Kurdistan,27,1596.8266738873874
Yugoslavia,13,1596.69746682419
Guernsey,56,1595.8752873047172
New Caledonia,127,1594.6691930162801
Slovenia,216,1591.4237311358834
Republic of Ireland,241,1586.0941080139723
Réunion,46,1581.836735758053
Romania,251,1579.7350617481943
Chile,235,1579.181144675834
Occitania,22,1578.8329755691316
Kosovo,71,1578.0183121506268
Vietnam,234,1577.4309193859513
Curaçao,102,1576.4579333908512
Kárpátalja,11,1576.2249764221667
Suriname,105,1575.0203643163811
Slovakia,220,1571.3015347852006
Zanzibar,17,1570.7877389767038
Guadeloupe,94,1568.1439255732876
Bolivia,229,1563.4320056036931
Bosnia and Herzegovina,196,1558.4924466693737
Czechoslovakia,23,1555.3494922625168
Trinidad and Tobago,260,1552.4527766990388
Tamil Eelam,27,1551.3334567231996
Kuwait,262,1549.2993793668134
North Korea,208,1546.461302652847
Tahiti,125,1545.3640791486878
North Macedonia,189,1544.700771742854
Ellan Vannin,18,1543.7582257353567
Uganda,165,1543.5958814612
Papua New Guinea,93,1542.4347005132752
Gabon,187,1541.0392210377095
Benin,160,1540.4948566311343
Angola,196,1537.8593513712883
Albania,209,1537.3966832851304
Zambia,236,1536.6440263884585
Arameans Suryoye,10,1536.1546282428817
Malaysia,230,1534.2419835936937
El Salvador,252,1533.3176005091764
Guyana,82,1530.3135159607355
Georgia,192,1528.0940095165222
Nicaragua,111,1527.669509824272
Guinea,217,1527.4145869104539
Israel,186,1527.2121964218627
Panjab,12,1525.9690004075449
Mozambique,166,1522.0596354407178
Dominican Republic,81,1515.759906974899
Indonesia,235,1514.7679922927516
Fiji,135,1512.9041217694082
Kyrgyzstan,125,1512.8055960779077
Felvidék,12,1509.2059419354393
Vanuatu,124,1507.095061708815
Lebanon,183,1503.754119721944
Finland,238,1500.6327297851733
Tajikistan,133,1496.4743762496005
Martinique,118,1493.09338104025
South Ossetia,14,1490.9712737841733
Cuba,166,1489.7382005367867
United Koreans in Japan,11,1487.2436327364856
Gambia,115,1486.863013622809
Puerto Rico,60,1486.4378417918401
Western Armenia,16,1484.8055195476586
Equatorial Guinea,120,1482.1271911184724
Turkmenistan,126,1478.52354835582
Libya,134,1475.7061135019044
Székely Land,26,1473.0188907932977
Mayotte,31,1469.6111235506812
Madagascar,159,1468.209658267224
Sudan,184,1467.897473353514
Kenya,172,1466.9514864574717
Sierra Leone,150,1465.4307616761423
Iceland,219,1464.984082904111
Bulgaria,217,1463.9943732134573
Northern Ireland,204,1463.7220979895267
Sápmi,28,1461.9095866166458
Raetia,12,1461.572061280066
Togo,195,1461.2962274040035
Rwanda,117,1458.1087406316276
Niger,116,1453.8170964828141
Philippines,190,1448.5481803259395
Zimbabwe,180,1448.307201773695
Hong Kong,172,1448.2361033047916
Solomon Islands,147,1446.5954672888545
French Guiana,58,1440.6050741283252
Comoros,105,1438.7884089728382
Mauritania,130,1437.651992305696
Singapore,237,1437.2751313993897
Liberia,152,1435.4157557278527
Provence,18,1431.334492352659
Montenegro,109,1426.9676946993382
Sint Maarten,34,1426.3693058524107
Kazakhstan,187,1424.9230728438433
Guinea-Bissau,117,1424.2567541054543
Namibia,159,1420.5378532128711
Bermuda,80,1419.81483700338
Saint Martin,30,1416.6746620309427
Malawi,160,1415.2481304920461
Tanzania,142,1414.4314979072985
Saint Kitts and Nevis,103,1404.8534584177594
Ethiopia,134,1399.7831079534728
Saint Vincent and the Grenadines,118,1399.4990993420965
Botswana,137,1396.4388406878086
Congo,180,1392.845524773883
Yemen,172,1389.674303841329
Lesotho,112,1388.128151276525
Belarus,181,1386.7625191926272
Grenada,98,1385.4364848561788
Burundi,105,1382.2868802642683
Armenia,191,1379.9272344051224
